;;;BFKC;;;DSK;;;KMC;;;TURTLE;;
n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set
80;200;20;8,78;99,69230769;2056,615385;0,217692308;135,3076923;673038,7692;0,325384615;87,15384615;37074,15385;0,197692308;65,23076923;177759,0769
40;40;25;0,03;99,76923077;1528,615385;0,219230769;134,7692308;672994,1538;0,333846154;87,69230769;38156,61538;0,191538462;99,61538462;177460,6154
45;45;25;0,064615385;99,53846154;1591,384615;0,224615385;135,9230769;673007,6923;0,335384615;88,92307692;38121,23077;0,193076923;99,61538462;177398,7692
50;50;25;0,121538462;99,92307692;1591,692308;0,219230769;134,9230769;672971,6923;0,332307692;88,61538462;38077,53846;0,194615385;99,61538462;177465,2308
55;55;25;0,210769231;99,84615385;1608,923077;0,221538462;134,7692308;673005,8462;0,334615385;88,53846154;38094,76923;0,195384615;99,53846154;177412,3077
60;60;25;0,338461538;99,84615385;1617,846154;0,214615385;134,8461538;672976,3077;0,328461538;88,76923077;38110,46154;0,192307692;99,53846154;177419,6923
65;65;25;0,515384615;99,92307692;1661,846154;0,204615385;130,7692308;673010,4615;0,335384615;87;38148,61538;0,193846154;99,23076923;177381,8462
70;70;25;0,755384615;99,92307692;1694,153846;0,217692308;135,3846154;673010,7692;0,330769231;88,23076923;38113,84615;0,193076923;99,69230769;177415,0769
75;75;25;1,06;99,69230769;1730,769231;0,217692308;134,9230769;673009,5385;0,330769231;88,15384615;38125,84615;0,193846154;99,46153846;177449,8462
80;80;25;1,456153846;99,76923077;1743,076923;0,223076923;135,6923077;672956,9231;0,332307692;88,84615385;38054,15385;0,194615385;99,61538462;177438,1538
80;85;25;1,646153846;99,76923077;1779,384615;0,219230769;134,8461538;672976;0,335384615;88;38175,07692;0,195384615;99,30769231;177387,6923
80;90;25;1,850769231;99,76923077;1806,769231;0,223846154;135,6923077;673002,1538;0,334615385;88,92307692;38048;0,196153846;99,61538462;177360,3077
80;95;25;2,054615385;99,61538462;1822,461538;0,223076923;135,6153846;672980,9231;0,332307692;87,69230769;38139,69231;0,191538462;99,30769231;177392,6154
80;100;25;2,277692308;99,84615385;1854,769231;0,217692308;134,6153846;672994,7692;0,335384615;88;38097,53846;0,196923077;99,61538462;177428
80;105;25;2,51;99,69230769;1872;0,230769231;135,5384615;673025,5385;0,329230769;88,30769231;38127,07692;0,197692308;99,46153846;177441,5385
80;110;25;2,749230769;99,84615385;1875,076923;0,218461538;130,6153846;673015,6923;0,326923077;88,53846154;38132;0,195384615;99,53846154;177403,3846
80;115;25;3,015384615;99,61538462;1916;0,221538462;135,6153846;673041,2308;0,330769231;89,38461538;38076,92308;0,192307692;99,69230769;177418,7692
80;120;25;3,300769231;99,76923077;1893,538462;0,229230769;135,2307692;673018,1538;0,328461538;88,53846154;38115,69231;0,2;99,53846154;177603,3846
80;125;25;3,567692308;99,69230769;1907,692308;0,216923077;136;673027,6923;0,325384615;88,53846154;38060;0,2;99,38461538;177516,3077
80;130;25;3,843076923;99,69230769;1944,307692;0,220769231;134,3076923;672993,8462;0,333076923;87,69230769;38092,92308;0,194615385;99,46153846;177706,1538
80;135;25;4,144615385;99,84615385;1968,307692;0,223076923;135,0769231;673002,7692;0,325384615;87,84615385;38145,84615;0,196153846;99,38461538;177742,1538
80;140;25;4,453846154;99,84615385;1982,461538;0,208461538;129,6923077;673007,0769;0,323846154;88,07692308;38110,46154;0,196923077;99,46153846;177743,0769
80;145;25;4,786153846;99,69230769;1994,153846;0,221538462;135,3846154;673000,9231;0,336153846;89,38461538;38115,69231;0,190769231;99,53846154;177812,3077
80;150;25;5,125384615;99,84615385;2022,769231;0,220769231;134,6153846;673015,3846;0,327692308;88,46153846;38110,46154;0,196153846;99,53846154;177790,1538
80;155;25;5,44;99,76923077;2022,461538;0,231538462;134,6153846;673031,3846;0,319230769;88,38461538;38116,30769;0,193846154;99,30769231;177766,4615
80;160;25;5,853076923;99,84615385;2032,615385;0,212307692;128,3076923;672977,5385;0,327692308;88,07692308;38066,46154;0,200769231;99,53846154;177779,0769
80;165;25;6,180769231;99,61538462;2063,076923;0,225384615;134,3846154;673012,9231;0,33;87,07692308;38127,69231;0,199230769;99,38461538;177821,5385
80;170;25;6,606153846;99,69230769;2070,461538;0,226923077;135,6153846;673011,6923;0,327692308;89,38461538;38079,38462;0,2;99,53846154;177822,7692
80;175;25;6,966153846;99,53846154;2064,615385;0,220769231;134,8461538;672999,3846;0,327692308;88,61538462;38098,76923;0,196923077;99,46153846;177827,6923
80;180;25;7,385384615;99,84615385;2103,384615;0,222307692;134,5384615;673007,6923;0,325384615;87,84615385;38096,61538;0,196153846;99,61538462;177800,3077
80;185;25;7,77;99,61538462;2121,230769;0,221538462;134,5384615;673012,9231;0,323846154;89,15384615;38088,30769;0,197692308;99,07692308;177718,4615
80;190;25;8,229230769;99,69230769;2138,461538;0,218461538;134,3846154;672994,4615;0,326923077;87,61538462;38115,69231;0,196923077;65,07692308;177809,5385
80;195;25;8,616923077;99,76923077;2171,692308;0,22;134,6153846;672998,1538;0,323076923;88,69230769;38141,53846;0,195384615;65;177794,7692
80;200;25;9,124615385;99,61538462;2179,384615;0,22;135,3846154;672994,7692;0,328461538;88,69230769;38130,15385;0,196153846;65,38461538;177808,3077
40;40;30;0,014615385;99,23076923;1517,230769;0,224615385;135,6153846;673002,1538;0,326153846;87,38461538;37037,53846;0,193846154;99,38461538;177427,6923
45;45;30;0,043846154;99,69230769;1553,538462;0,22;134,6153846;672979,0769;0,33;86,92307692;37039,07692;0,193846154;99,46153846;177420,3077
50;50;30;0,093076923;99,69230769;1600;0,218461538;135,5384615;673036,9231;0,329230769;87,46153846;37039,38462;0,193076923;99,38461538;177384,3077
55;55;30;0,175384615;99,84615385;1591,076923;0,219230769;134,0769231;673012,3077;0,330769231;87,15384615;37039,38462;0,195384615;99,46153846;177375,0769
